ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
MSN,2015,2,21069797000000,9555419000000,2067123000000,3401451000000,5620574000000,425230000000,50228852000000,6830337000000,24841010000000,0,8901247000000,0,3252252000000,71298649000000,45347411000000,12482972000000,32864439000000,25951238000000,25951238000000,-9045049000000,7411355000000,10595687000000,71298649000000,972338000000,0,5651811000000,0,7358081000000,7358081000000,30386060000000,182830000000,6466831000000,1097879000000,1937973000000,21646000000,1436938000000,8286158000000,VCI,yearly
MSN,2015,1,12321130000000,4750081000000,1417703000000,3825404000000,1979655000000,348287000000,36868449000000,0,24401159000000,0,8848432000000,930691000000,1211173000000,49189579000000,27209961000000,8272584000000,18937377000000,15020066000000,15020066000000,-9045049000000,7075870000000,0,49189579000000,478020000000,0,2014734000000,1064000000,7358081000000,7358081000000,17327342000000,90375000000,4904645000000,0,1078410000000,144050000000,1476994000000,1476994000000,VCI,yearly
MSN,2014,4,16428327000000,5166415000000,4042212000000,5176907000000,1604854000000,437939000000,36536773000000,0,24064527000000,0,8745176000000,792354000000,1546918000000,52965100000000,31039961000000,11796756000000,19243205000000,15016083000000,15016083000000,97703000000,7071887000000,0,52965100000000,341231000000,0,1627172000000,50643000000,7358081000000,7358081000000,17521970000000,35786000000,6042278000000,0,1369592000000,147650000000,1387798000000,1387798000000,VCI,yearly
MSN,2014,3,9320040000000,2897335000000,2762876000000,1516985000000,1779454000000,363390000000,37342268000000,0,22236147000000,0,11235575000000,842786000000,3025802000000,46662308000000,24602383000000,7026002000000,17576381000000,14331170000000,14331170000000,97703000000,6039500000000,0,46662308000000,396850000000,0,1789533000000,43858000000,7358081000000,7358081000000,16112553000000,60815000000,3342801000000,0,2782698000000,147650000000,1958000000,1958000000,VCI,yearly
MSN,2014,2,9011832000000,5160730000000,283300000000,1522663000000,1631769000000,413370000000,36459339000000,0,21492846000000,0,10771961000000,411072000000,3071008000000,45471171000000,23690979000000,6068695000000,17622284000000,14264299000000,14264299000000,97703000000,6012052000000,0,45471171000000,344098000000,0,1645582000000,81469000000,7349113000000,7349113000000,16198953000000,21480000000,2250081000000,0,2829957000000,52600000000,712452000000,712452000000,VCI,yearly
MSN,2014,1,10120903000000,4608179000000,2634166000000,1342622000000,1294439000000,241497000000,36133694000000,0,21437730000000,0,10736783000000,424096000000,3010456000000,46254597000000,22880197000000,6657669000000,16222528000000,14790019000000,14790019000000,97703000000,6250773000000,0,46254597000000,429439000000,0,1314404000000,61886000000,7349113000000,7349113000000,14820179000000,75255000000,3474995000000,0,2814771000000,3600000000,524629000000,524629000000,VCI,yearly
MSN,2013,4,11199004000000,5698563000000,3287000000000,975138000000,1070709000000,167594000000,35290281000000,0,23121365000000,0,10759698000000,0,959035000000,46489285000000,23237638000000,9974373000000,13263265000000,14947157000000,14947157000000,-8295553000000,6335920000000,0,46489285000000,360236000000,0,1091775000000,38370000000,7349113000000,7349113000000,12067096000000,22163000000,6635910000000,0,403353000000,3600000000,450183000000,450183000000,VCI,yearly
MSN,2013,3,9932804000000,6115293000000,1335000000000,1037624000000,1218101000000,226786000000,34064192000000,0,21868364000000,0,10819198000000,450143000000,524723000000,43996996000000,22303796000000,7172597000000,15131199000000,12630761000000,12630761000000,-8537939000000,6160833000000,0,43996996000000,511154000000,0,1231157000000,55062000000,7051409000000,7051409000000,13994397000000,12653000000,4413398000000,0,399337000000,3600000000,401764000000,401764000000,VCI,yearly
MSN,2013,2,8580593000000,6342240000000,0,1010328000000,1016211000000,211814000000,32943856000000,0,20781630000000,0,11246795000000,463167000000,188416000000,41524449000000,18821473000000,5879333000000,12942140000000,15268626000000,15268626000000,1721824000000,6046204000000,0,41524449000000,548368000000,0,1026127000000,49088000000,7051409000000,7051409000000,11176198000000,9937000000,3304195000000,0,106054000000,369100000000,263848000000,263848000000,VCI,yearly
MSN,2013,1,9315114000000,6858276000000,287000000000,1235590000000,787265000000,146983000000,31304797000000,0,19098065000000,0,11735998000000,241514000000,196551000000,40619911000000,18528663000000,5551360000000,12977303000000,15527440000000,15527440000000,1721824000000,5926268000000,0,40619911000000,625311000000,0,798428000000,17247000000,6872801000000,6872801000000,11274640000000,13672000000,2697152000000,0,92204000000,802779000000,32669000000,32669000000,VCI,yearly
MSN,2010,4,4648938000000,3394574000000,490000000000,328756000000,289342000000,146266000000,16272988000000,0,8060734000000,568000000,8095302000000,3572000000,112812000000,20921926000000,8267656000000,3241119000000,5026537000000,11019149000000,11019149000000,0,3066108000000,0,20921926000000,90121000000,0,295689000000,16997000000,5152723000000,5152723000000,5015751000000,10768000000,874824000000,0,70771000000,0,0,0,VCI,yearly
